"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
442,"District 3B District Judge Julie Ann Schumacher (Vote For 1)","Yes","",41514,80.92,59302,73843,6,6,"0","0"
443,"District 3B District Judge Julie Ann Schumacher (Vote For 1)","No","",9790,19.08,59302,73843,6,6,"0","0"
444,"District 4 District Judge Greg W. Steensland (Vote For 1)","Yes","",37768,69.07,63922,73195,9,9,"0","0"
445,"District 4 District Judge Greg W. Steensland (Vote For 1)","No","",16911,30.93,63922,73195,9,9,"0","0"
446,"District 5A District Judge Randy Hefner (Vote For 1)","Yes","",55385,72.29,156982,110029,6,6,"0","0"
447,"District 5A District Judge Randy Hefner (Vote For 1)","No","",21231,27.71,156982,110029,6,6,"0","0"
448,"District 5A District Judge Bradley McCall (Vote For 1)","Yes","",55593,72.70,156982,110029,6,6,"0","0"
449,"District 5A District Judge Bradley McCall (Vote For 1)","No","",20877,27.30,156982,110029,6,6,"0","0"
450,"District 5A District Judge Terry R. Rickers (Vote For 1)","Yes","",55224,72.14,156982,110029,6,6,"0","0"
451,"District 5A District Judge Terry R. Rickers (Vote For 1)","No","",21323,27.86,156982,110029,6,6,"0","0"
452,"District 5B District Judge Patrick W. Greenwood (Vote For 1)","Yes","",15967,73.41,34028,27674,9,9,"0","0"
453,"District 5B District Judge Patrick W. Greenwood (Vote For 1)","No","",5783,26.59,34028,27674,9,9,"0","0"
454,"District 5C District Judge Heather L. Lauber (Vote For 1)","Yes","",107794,78.24,309811,207423,1,1,"0","0"
455,"District 5C District Judge Heather L. Lauber (Vote For 1)","No","",29986,21.76,309811,207423,1,1,"0","0"
456,"District 5C District Judge David N. May (Vote For 1)","Yes","",101374,74.60,309811,207423,1,1,"0","0"
457,"District 5C District Judge David N. May (Vote For 1)","No","",34509,25.40,309811,207423,1,1,"0","0"
458,"District 6 District Judge Andrew B. Chappell (Vote For 1)","Yes","",112476,77.56,216889,206085,6,6,"0","0"
459,"District 6 District Judge Andrew B. Chappell (Vote For 1)","No","",32551,22.44,216889,206085,6,6,"0","0"
460,"District 6 District Judge Paul Miller (Vote For 1)","Yes","",113118,77.97,216889,206085,6,6,"0","0"
461,"District 6 District Judge Paul Miller (Vote For 1)","No","",31953,22.03,216889,206085,6,6,"0","0"
462,"District 6 District Judge Mitchell E. Turner (Vote For 1)","Yes","",111596,76.84,216889,206085,6,6,"0","0"
463,"District 6 District Judge Mitchell E. Turner (Vote For 1)","No","",33627,23.16,216889,206085,6,6,"0","0"
464,"District 7 District Judge Mark D. Cleve (Vote For 1)","Yes","",63180,71.38,211957,119919,5,5,"0","0"
465,"District 7 District Judge Mark D. Cleve (Vote For 1)","No","",25332,28.62,211957,119919,5,5,"0","0"
466,"District 7 District Judge Thomas Reidel (Vote For 1)","Yes","",63062,71.34,211957,119919,5,5,"0","0"
467,"District 7 District Judge Thomas Reidel (Vote For 1)","No","",25337,28.66,211957,119919,5,5,"0","0"
468,"District 7 District Judge Nancy S. Tabor (Vote For 1)","Yes","",66159,72.77,211957,119919,5,5,"0","0"
469,"District 7 District Judge Nancy S. Tabor (Vote For 1)","No","",24758,27.23,211957,119919,5,5,"0","0"
470,"District 7 District Judge John D. Telleen (Vote For 1)","Yes","",61874,70.18,211957,119919,5,5,"0","0"
471,"District 7 District Judge John D. Telleen (Vote For 1)","No","",26289,29.82,211957,119919,5,5,"0","0"
472,"District 8A District Judge Crystal S. Cronk (Vote For 1)","Yes","",32436,72.91,103810,64046,10,10,"0","0"
473,"District 8A District Judge Crystal S. Cronk (Vote For 1)","No","",12054,27.09,103810,64046,10,10,"0","0"
474,"District 8A District Judge Lucy J. Gamon (Vote For 1)","Yes","",32786,73.08,103810,64046,10,10,"0","0"
475,"District 8A District Judge Lucy J. Gamon (Vote For 1)","No","",12078,26.92,103810,64046,10,10,"0","0"
476,"District 8A District Judge Myron Gookin (Vote For 1)","Yes","",32321,72.28,103810,64046,10,10,"0","0"
477,"District 8A District Judge Myron Gookin (Vote For 1)","No","",12396,27.72,103810,64046,10,10,"0","0"
478,"District 8A District Judge Shawn R. Showers (Vote For 1)","Yes","",31772,72.19,103810,64046,10,10,"0","0"
479,"District 8A District Judge Shawn R. Showers (Vote For 1)","No","",12241,27.81,103810,64046,10,10,"0","0"
480,"District 8B District Judge Mark Kruse (Vote For 1)","Yes","",23895,78.97,72331,39310,4,4,"0","0"
481,"District 8B District Judge Mark Kruse (Vote For 1)","No","",6362,21.03,72331,39310,4,4,"0","0"
482,"District 8B District Judge John M. Wright (Vote For 1)","Yes","",23006,76.92,72331,39310,4,4,"0","0"
483,"District 8B District Judge John M. Wright (Vote For 1)","No","",6903,23.08,72331,39310,4,4,"0","0"
484,"District 1A District Associate Judge Robert J. Richter (Vote For 1)","Yes","",43125,81.33,105762,31327,5,5,"0","0"
485,"District 1A District Associate Judge Robert J. Richter (Vote For 1)","No","",9897,18.67,105762,31327,5,5,"0","0"
486,"District 1B District Associate Judge Jeffrey L. Harris (Vote For 1)","Yes","",47520,77.21,137477,85009,6,6,"109","14974"
487,"District 1B District Associate Judge Jeffrey L. Harris (Vote For 1)","No","",14028,22.79,137477,85009,6,6,"109","14974"
488,"District 1B District Associate Judge Brook K. Jacobsen (Vote For 1)","Yes","",49015,80.08,137477,85009,6,6,"42","15251"
489,"District 1B District Associate Judge Brook K. Jacobsen (Vote For 1)","No","",12191,19.92,137477,85009,6,6,"42","15251"
490,"District 1B District Associate Judge Patrick Wegman (Vote For 1)","Yes","",48071,78.57,137477,85009,6,6,"8","15663"
491,"District 1B District Associate Judge Patrick Wegman (Vote For 1)","No","",13109,21.43,137477,85009,6,6,"8","15663"
492,"District 2B District Associate Judge Paul B. Ahlers (Vote For 1)","Yes","",64529,75.31,208872,132063,13,13,"0","0"
493,"District 2B District Associate Judge Paul B. Ahlers (Vote For 1)","No","",21153,24.69,208872,132063,13,13,"0","0"
494,"District 2B District Associate Judge Paul G. Crawford (Vote For 1)","Yes","",64930,76.06,208872,132063,13,13,"0","0"
495,"District 2B District Associate Judge Paul G. Crawford (Vote For 1)","No","",20432,23.94,208872,132063,13,13,"0","0"
496,"District 2B District Associate Judge Angela L. Doyle (Vote For 1)","Yes","",67971,78.50,208872,132063,13,13,"0","0"
497,"District 2B District Associate Judge Angela L. Doyle (Vote For 1)","No","",18618,21.50,208872,132063,13,13,"0","0"
498,"District 2B District Associate Judge Joseph B. McCarville (Vote For 1)","Yes","",63927,73.92,208872,132063,13,13,"0","0"
499,"District 2B District Associate Judge Joseph B. McCarville (Vote For 1)","No","",22558,26.08,208872,132063,13,13,"0","0"
500,"District 2B District Associate Judge Kim M. Riley (Vote For 1)","Yes","",67404,78.30,208872,132063,13,13,"0","0"
501,"District 2B District Associate Judge Kim M. Riley (Vote For 1)","No","",18681,21.70,208872,132063,13,13,"0","0"
502,"District 3B District Associate Judge Stephanie Forker Parry (Vote For 1)","Yes","",39295,78.47,59302,73843,6,6,"0","0"
503,"District 3B District Associate Judge Stephanie Forker Parry (Vote For 1)","No","",10780,21.53,59302,73843,6,6,"0","0"
504,"District 3B District Associate Judge Todd A. Hensley (Vote For 1)","Yes","",39927,79.27,59302,73843,6,6,"0","0"
505,"District 3B District Associate Judge Todd A. Hensley (Vote For 1)","No","",10443,20.73,59302,73843,6,6,"0","0"
506,"District 4 District Associate Judge Craig M. Dreismeier (Vote For 1)","Yes","",37983,70.67,63922,73195,9,9,"0","0"
507,"District 4 District Associate Judge Craig M. Dreismeier (Vote For 1)","No","",15767,29.33,63922,73195,9,9,"0","0"
508,"District 4 District Associate Judge Amy L. Zacharias (Vote For 1)","Yes","",40271,73.66,63922,73195,9,9,"0","0"
509,"District 4 District Associate Judge Amy L. Zacharias (Vote For 1)","No","",14398,26.34,63922,73195,9,9,"0","0"
510,"District 5A District Associate Judge Virginia Cobb (Vote For 1)","Yes","",56642,73.36,156982,110029,6,6,"0","0"
511,"District 5A District Associate Judge Virginia Cobb (Vote For 1)","No","",20569,26.64,156982,110029,6,6,"0","0"
512,"District 5A District Associate Judge Kevin Parker (Vote For 1)","Yes","",57179,73.85,156982,110029,6,6,"0","0"
513,"District 5A District Associate Judge Kevin Parker (Vote For 1)","No","",20244,26.15,156982,110029,6,6,"0","0"
514,"District 5C District Associate Judge Romonda D. Belcher (Vote For 1)","Yes","",103233,75.44,309811,207423,1,1,"0","0"
515,"District 5C District Associate Judge Romonda D. Belcher (Vote For 1)","No","",33615,24.56,309811,207423,1,1,"0","0"
516,"District 5C District Associate Judge Gregory D. Brandt (Vote For 1)","Yes","",100638,74.09,309811,207423,1,1,"0","0"
517,"District 5C District Associate Judge Gregory D. Brandt (Vote For 1)","No","",35192,25.91,309811,207423,1,1,"0","0"
518,"District 5C District Associate Judge Carol L. Coppola (Vote For 1)","Yes","",107848,77.88,309811,207423,1,1,"0","0"
519,"District 5C District Associate Judge Carol L. Coppola (Vote For 1)","No","",30637,22.12,309811,207423,1,1,"0","0"
520,"District 5C District Associate Judge Carol S. Egly (Vote For 1)","Yes","",106789,77.37,309811,207423,1,1,"0","0"
521,"District 5C District Associate Judge Carol S. Egly (Vote For 1)","No","",31233,22.63,309811,207423,1,1,"0","0"
522,"District 5C District Associate Judge Becky S. Goettsch (Vote For 1)","Yes","",106227,78.03,309811,207423,1,1,"0","0"
523,"District 5C District Associate Judge Becky S. Goettsch (Vote For 1)","No","",29910,21.97,309811,207423,1,1,"0","0"
524,"District 5C District Associate Judge William A. Price (Vote For 1)","Yes","",99311,73.46,309811,207423,1,1,"0","0"
525,"District 5C District Associate Judge William A. Price (Vote For 1)","No","",35874,26.54,309811,207423,1,1,"0","0"
526,"District 5C District Associate Judge Rachael Seymour (Vote For 1)","Yes","",104097,76.18,309811,207423,1,1,"0","0"
527,"District 5C District Associate Judge Rachael Seymour (Vote For 1)","No","",32558,23.82,309811,207423,1,1,"0","0"
528,"District 6 District Associate Judge Deborah Farmer Minot (Vote For 1)","Yes","",112522,76.49,216889,206085,6,6,"0","0"
529,"District 6 District Associate Judge Deborah Farmer Minot (Vote For 1)","No","",34576,23.51,216889,206085,6,6,"0","0"
530,"District 6 District Associate Judge Nicholas Scott (Vote For 1)","Yes","",113297,78.33,216889,206085,6,6,"0","0"
531,"District 6 District Associate Judge Nicholas Scott (Vote For 1)","No","",31336,21.67,216889,206085,6,6,"0","0"
532,"District 7 District Associate Judge Gary P. Strausser (Vote For 1)","Yes","",64821,72.76,211957,119919,5,5,"0","0"
533,"District 7 District Associate Judge Gary P. Strausser (Vote For 1)","No","",24273,27.24,211957,119919,5,5,"0","0"
534,"District 8A District Associate Judge Daniel P. Kitchen (Vote For 1)","Yes","",33681,74.58,103810,64046,10,10,"0","0"
535,"District 8A District Associate Judge Daniel P. Kitchen (Vote For 1)","No","",11479,25.42,103810,64046,10,10,"0","0"
536,"District 8B District Associate Judge Jennifer Slocum Bailey (Vote For 1)","Yes","",23552,78.56,72331,39310,4,4,"0","0"
537,"District 8B District Associate Judge Jennifer Slocum Bailey (Vote For 1)","No","",6426,21.44,72331,39310,4,4,"0","0"
538,"District 8B District Associate Judge Tyron T. Rogers (Vote For 1)","Yes","",21896,74.59,72331,39310,4,4,"0","0"
539,"District 8B District Associate Judge Tyron T. Rogers (Vote For 1)","No","",7459,25.41,72331,39310,4,4,"0","0"
