"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
248,"State Representative District 45 (Vote For 1)","Beth Wessel-Kroeschell","DEM",9607,68.79,69525,42966,1,1,"0","0"
249,"State Representative District 45 (Vote For 1)","Write-in","",16,0.11,69525,42966,1,1,"0","0"
250,"State Representative District 46 (Vote For 1)","Lisa K. Heddens","DEM",10725,97.65,69525,42966,1,1,"0","0"
251,"State Representative District 46 (Vote For 1)","Write-in","",258,2.35,69525,42966,1,1,"0","0"
252,"State Representative District 47 (Vote For 1)","Phil Thompson","REP",6856,51.71,24935,16377,2,2,"0","0"
253,"State Representative District 47 (Vote For 1)","David Weaver","DEM",5974,45.06,24935,16377,2,2,"0","0"
254,"State Representative District 47 (Vote For 1)","Patrick A. Shaw","LIB",424,3.20,24935,16377,2,2,"0","0"
255,"State Representative District 47 (Vote For 1)","Write-in","",5,0.04,24935,16377,2,2,"0","0"
256,"State Representative District 48 (Vote For 1)","Robert P. Bacon","REP",8052,58.74,122245,75878,4,4,"0","0"
257,"State Representative District 48 (Vote For 1)","Tim Winter","DEM",5643,41.17,122245,75878,4,4,"0","0"
258,"State Representative District 48 (Vote For 1)","Write-in","",12,0.09,122245,75878,4,4,"0","0"
259,"State Representative District 49 (Vote For 1)","Dave Deyoe","REP",7950,56.75,76800,50241,2,2,"0","0"
260,"State Representative District 49 (Vote For 1)","Brenda Brink","DEM",5524,39.43,76800,50241,2,2,"0","0"
261,"State Representative District 49 (Vote For 1)","John Evans","LIB",533,3.80,76800,50241,2,2,"0","0"
262,"State Representative District 49 (Vote For 1)","Write-in","",3,0.02,76800,50241,2,2,"0","0"
263,"State Representative District 50 (Vote For 1)","Pat Grassley","REP",8763,66.82,25583,19215,3,3,"0","0"
264,"State Representative District 50 (Vote For 1)","Dennis Evans","DEM",4346,33.14,25583,19215,3,3,"0","0"
265,"State Representative District 50 (Vote For 1)","Write-in","",5,0.04,25583,19215,3,3,"0","0"
266,"State Representative District 51 (Vote For 1)","Jane Bloomingdale","REP",7379,58.39,24952,21749,4,4,"0","0"
267,"State Representative District 51 (Vote For 1)","Tim Knutson","DEM",5254,41.58,24952,21749,4,4,"0","0"
268,"State Representative District 51 (Vote For 1)","Write-in","",4,0.03,24952,21749,4,4,"0","0"
269,"State Representative District 52 (Vote For 1)","Todd Prichard","DEM",9465,97.26,49534,30835,3,3,"0","0"
270,"State Representative District 52 (Vote For 1)","Write-in","",267,2.74,49534,30835,3,3,"0","0"
271,"State Representative District 53 (Vote For 1)","Sharon Steckman","DEM",9787,96.54,31105,19179,1,1,"0","0"
272,"State Representative District 53 (Vote For 1)","Write-in","",351,3.46,31105,19179,1,1,"0","0"
273,"State Representative District 54 (Vote For 1)","Linda Upmeyer","REP",10370,97.33,47222,29488,3,3,"0","0"
274,"State Representative District 54 (Vote For 1)","Write-in","",284,2.67,47222,29488,3,3,"0","0"
275,"State Representative District 55 (Vote For 1)","Michael Bergan","REP",6924,50.01,25937,26182,3,3,"1","31"
276,"State Representative District 55 (Vote For 1)","Kayla Koether","DEM",6915,49.94,25937,26182,3,3,"1","31"
277,"State Representative District 55 (Vote For 1)","Write-in","",7,0.05,25937,26182,3,3,"1","31"
278,"State Representative District 56 (Vote For 1)","Anne Osmundson","REP",7090,57.92,9997,13682,2,2,"0","0"
279,"State Representative District 56 (Vote For 1)","Lori Egan","DEM",5136,41.96,9997,13682,2,2,"0","0"
280,"State Representative District 56 (Vote For 1)","Write-in","",15,0.12,9997,13682,2,2,"0","0"
281,"State Representative District 57 (Vote For 1)","Shannon Lundgren","REP",8655,54.93,69711,0,1,1,"0","0"
282,"State Representative District 57 (Vote For 1)","Nancy Fett","DEM",6627,42.06,69711,0,1,1,"0","0"
283,"State Representative District 57 (Vote For 1)","Lucas J. Link","LIB",471,2.99,69711,0,1,1,"0","0"
284,"State Representative District 57 (Vote For 1)","Write-in","",4,0.03,69711,0,1,1,"0","0"
285,"State Representative District 58 (Vote For 1)","Andy McKean","REP",9004,69.17,98187,17362,3,3,"0","0"
286,"State Representative District 58 (Vote For 1)","Joe Oclon","DEM",4004,30.76,98187,17362,3,3,"0","0"
287,"State Representative District 58 (Vote For 1)","Write-in","",10,0.08,98187,17362,3,3,"0","0"
288,"State Representative District 59 (Vote For 1)","Bob Kressig","DEM",10431,96.41,89192,53470,1,1,"4","2966"
289,"State Representative District 59 (Vote For 1)","Write-in","",388,3.59,89192,53470,1,1,"4","2966"
290,"State Representative District 60 (Vote For 1)","Walt Rogers","REP",7711,49.21,89192,53470,1,1,"7","187"
291,"State Representative District 60 (Vote For 1)","Dave Williams","DEM",7945,50.71,89192,53470,1,1,"7","187"
292,"State Representative District 60 (Vote For 1)","Write-in","",13,0.08,89192,53470,1,1,"7","187"
293,"State Representative District 61 (Vote For 1)","Timi Brown-Powers","DEM",7596,97.47,89192,53470,1,1,"9","2621"
294,"State Representative District 61 (Vote For 1)","Write-in","",197,2.53,89192,53470,1,1,"9","2621"
295,"State Representative District 62 (Vote For 1)","Ras Smith","DEM",7005,97.37,89192,53470,1,1,"4","1892"
296,"State Representative District 62 (Vote For 1)","Write-in","",189,2.63,89192,53470,1,1,"4","1892"
297,"State Representative District 63 (Vote For 1)","Sandy Salmon","REP",8059,56.62,100675,64953,2,2,"1","47"
298,"State Representative District 63 (Vote For 1)","Eric Stromberg","DEM",6168,43.33,100675,64953,2,2,"1","47"
299,"State Representative District 63 (Vote For 1)","Write-in","",7,0.05,100675,64953,2,2,"1","47"
300,"State Representative District 64 (Vote For 1)","Bruce Bearinger","DEM",9008,97.07,24993,16807,2,2,"0","0"
